ID,標題,作者,年份,期刊,類別,評分,標籤,一行摘要,DOI,URL,來源,加入時間
818,Identification of volatile lung cancer markers by gas chromatography–mass spectrometry: comparison with discrimination by canines,"Bogusław Buszewski, Tomasz Ligor, Tadeusz Jezierski, Anna Wenda-Piesik, Marta Walczak et al.",2012,Analytical and Bioanalytical Chemistry,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""GC-MS"", ""VOC biomarker"", ""non-invasive screening""]",利用呼氣GC-MS分析肺癌標記物，並與犬隻辨識結果比較。,10.1007/s00216-012-6102-8,https://doi.org/10.1007/s00216-012-6102-8,openalex,2026-04-04 18:08:29
819,Detecting Simulated Patterns of Lung Cancer Biomarkers by Random Network of Single-Walled Carbon Nanotubes Coated with Nonpolymeric Organic Materials,"Gang Peng, Elena Trock, Hossam Haick",2008,Nano Letters,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""GC-MS"", ""chemiresistive sensor""]",利用呼氣VOC診斷肺癌，並使用GC-MS確認模式。,10.1021/nl801577u,https://doi.org/10.1021/nl801577u,openalex,2026-04-04 18:08:29
821,Quantitative breath analysis of volatile organic compounds of lung cancer patients,"Geng Song, Tao Qin, Hu Liu, Guobing Xu, Yueyin Pan et al.",2009,Lung Cancer,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC"", ""cancer biomarker"", ""呼氣""]",研究肺癌患者的呼氣揮發性有機化合物定量分析。,10.1016/j.lungcan.2009.03.029,https://doi.org/10.1016/j.lungcan.2009.03.029,openalex,2026-04-04 18:08:29
822,The lung cancer breath signature: a comparative analysis of exhaled breath and air sampled from inside the lungs,"Rosamaria Capuano, Marco Santonico, Giorgio Pennazza, Silvia Ghezzi, Eugenio Martinelli et al.",2015,Scientific Reports,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""GC-MS"", ""VOC biomarker"", ""electronic nose""]",研究肺癌呼氣VOC，比較呼氣與肺內氣體成分，具有診斷價值。,10.1038/srep16491,https://doi.org/10.1038/srep16491,openalex,2026-04-04 18:08:29
812,Prediction of response to anti-PD-1 therapy in patients with non-small-cell lung cancer by electronic nose analysis of exhaled breath,"R. de Vries, Mirte Muller, Vincent van der Noort, Willemijn S.M.E. Theelen, Robert D. Schouten et al.",2019,Annals of Oncology,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""eNose"", ""immunotherapy"", ""VOC biomarker""]",電子鼻分析呼氣，预测肺癌免疫治疗反应。,10.1093/annonc/mdz279,https://doi.org/10.1093/annonc/mdz279,openalex,2026-04-04 18:08:28
807,Detection of lung cancer in exhaled breath with an electronic nose using support vector machine analysis,"Madara Tirzīte, Māris Bukovskis, Gunta Strazda, Normunds Jurka, Immanuels Taivāns",2017,Journal of Breath Research,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""electronic nose"", ""SVM"", ""VOC biomarker""]",利用電子鼻和SVM分析呼氣，可有效區分肺癌患者。,10.1088/1752-7163/aa7799,https://doi.org/10.1088/1752-7163/aa7799,openalex,2026-04-04 18:08:27
808,Exhaled Breath Analysis Using Electronic Nose in Cystic Fibrosis and Primary Ciliary Dyskinesia Patients with Chronic Pulmonary Infections,"Odin Joensen, Tamara Paff, Eric G. Haarman, Ib M. Skovgaard, Peter Østrup Jensen et al.",2014,PLoS ONE,infection,5.0,"[""breath analysis"", ""cystic fibrosis"", ""pulmonary infection"", ""electronic nose"", ""P. aeruginosa""]",電子鼻分析CF和PCD患者呼氣，可區分感染狀況。,10.1371/journal.pone.0115584,https://doi.org/10.1371/journal.pone.0115584,openalex,2026-04-04 18:08:27
796,Surveillance for lower airway pathogens in mechanically ventilated patients by metabolomic analysis of exhaled breath: a case-control study,"Stephen J. Fowler, M. Basanta-Sanchez, Yun Xu, Royston Goodacre, Paul Dark",2015,Thorax,infection,5.0,"[""breath analysis"", ""lower respiratory tract infection"", ""metabolomics"", ""diagnostics"", ""ventilated patients""]",呼氣分析可分類病患呼吸道病原體感染狀況，具診斷潛力。,10.1136/thoraxjnl-2014-206273,https://doi.org/10.1136/thoraxjnl-2014-206273,openalex,2026-04-04 18:08:26
787,Artificial Breath Classification Using XGBoost Algorithm for Diabetes Detection,"Anna Paleczek, Dominik Grochala, Artur Rydosz",2021,Sensors,disease_chronic,5.0,"[""breath analysis"", ""diabetes"", ""XGBoost"", ""e-nose"", ""VOC biomarker""]",利用電子鼻和XGBoost算法進行糖尿病檢測的研究。,10.3390/s21124187,https://doi.org/10.3390/s21124187,openalex,2026-04-04 18:08:25
789,Lung Cancer Screening Based on Type-different Sensor Arrays,"Wang Li, Hongying Liu, Dandan Xie, Zichun He, Xititan Pi",2017,Scientific Reports,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""e-nose"", ""VOC"", ""screening""]",利用電子鼻系統進行肺癌篩檢，展現了良好的診斷效能。,10.1038/s41598-017-02154-9,https://doi.org/10.1038/s41598-017-02154-9,openalex,2026-04-04 18:08:25
792,Metabolomics of exhaled breath in critically ill COVID-19 patients: A pilot study,"Stanislas Grassin‐Delyle, Camille Roquencourt, Pierre Moine, Gabriel Saffroy, Stanislas Carn et al.",2020,EBioMedicine,infection,5.0,"[""breath analysis"", ""COVID-19"", ""metabolomics"", ""exhaled breath"", ""infection""]",研究COVID-19重症患者呼氣代謝體，具有高度相關性。,10.1016/j.ebiom.2020.103154,https://doi.org/10.1016/j.ebiom.2020.103154,openalex,2026-04-04 18:08:25
778,Volatile Organic Compounds in Exhaled Breath as Biomarkers for the Early Detection and Screening of Lung Cancer,"Ulrike Tisch, Salem Billan, Maya Ilouze, Michael Phillips, Nir Peled et al.",2012,International Journal of Clinical Reviews,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""early detection"", ""screening""]",研究呼氣VOC作為肺癌早期檢測和篩查的生物標記。,10.5275/ijcr.2012.07.04,https://doi.org/10.5275/ijcr.2012.07.04,openalex,2026-04-04 18:08:24
780,Detection of Lung Cancer with Volatile Organic Biomarkers in Exhaled Breath and Lung Cancer Cells,"Jin Yu, Di Wang, Le Wang, Ping Wang, Yanjie Hu et al.",2009,AIP conference proceedings,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""GC-MS"", ""VOC biomarker"", ""exhaled breath""]",利用呼氣VOC診斷肺癌，並建立預測模型。,10.1063/1.3156506,https://doi.org/10.1063/1.3156506,openalex,2026-04-04 18:08:24
785,A highly sensitive and moisture-resistant gas sensor for diabetes diagnosis with Pt@In2O3 nanowires and a molecular sieve for protection,"Wei Liu, Lin Xu, Kuang Sheng, Xiangyu Zhou, Biao Dong et al.",2018,NPG Asia Materials,disease_chronic,5.0,"[""breath analysis"", ""diabetes"", ""sensor"", ""acetone"", ""diagnosis""]",開發用於糖尿病診斷的超高靈敏度氣體感測器。,10.1038/s41427-018-0029-2,https://doi.org/10.1038/s41427-018-0029-2,openalex,2026-04-04 18:08:24
777,Amine-Functionalized ZIF-8 as a Fluorescent Probe for Breath Volatile Organic Compound Biomarker Detection of Lung Cancer Patients,"Yuanhan Xia, Yi Hong, Rongchuang Geng, Xue Li, Ailan Qu et al.",2020,ACS Omega,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""ZIF-8"", ""sensing""]",研究針對肺癌患者呼氣中的VOC生物標記物檢測方法。,10.1021/acsomega.9b03793,https://doi.org/10.1021/acsomega.9b03793,openalex,2026-04-04 18:08:23
774,"Breath biomarkers for lung cancer detection and assessment of smoking related effects — confounding variables, influence of normalization and statistical algorithms","Sabine Kischkel, Wolfram Miekisch, Annika Sawacki, Eva M. Straker, Phillip Trefz et al.",2010,Clinica Chimica Acta,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""smoking"", ""detection""]",研究呼氣生物標記物用於肺癌檢測及吸菸相關影響。,10.1016/j.cca.2010.06.005,https://doi.org/10.1016/j.cca.2010.06.005,openalex,2026-04-04 18:08:21
766,Smelling heart failure from human skin odor with an electronic nose,"Andreas Voss, Karsten Witt, Claudia Fischer, S. Reulecke, W. Poitz et al.",2012,,voc_liquid,5.0,"[""skin odor"", ""heart failure"", ""electronic nose"", ""sweat"", ""VOC biomarker""]",利用電子鼻分析皮膚汗液揮發物，診斷心臟衰竭。,10.1109/embc.2012.6346852,https://doi.org/10.1109/embc.2012.6346852,openalex,2026-04-04 18:08:20
761,Volatile metabolomic signature of human breast cancer cell lines,"Catarina L. Silva, Rosa Perestrelo, Pedro Silva, Helena Tomás, José S. Câmara",2017,Scientific Reports,disease_cancer,5.0,"[""breast cancer"", ""VOC biomarker"", ""GC-MS"", ""metabolomics"", ""cancer diagnosis""]",研究乳癌細胞系的揮發性有機化合物，尋找診斷標記。,10.1038/srep43969,https://doi.org/10.1038/srep43969,openalex,2026-04-04 18:08:19
755,Detection of Lung Cancer: Concomitant Volatile Organic Compounds and Metabolomic Profiling of Six Cancer Cell Lines of Different Histological Origins,"Zhunan Jia, Hui Zhang, Choon Nam Ong, Abhijeet Patra, Yonghai Lu et al.",2018,ACS Omega,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""mass spectrometry"", ""early detection""]",研究呼氣VOC與代謝體，用於肺癌診斷與分型。,10.1021/acsomega.7b02035,https://doi.org/10.1021/acsomega.7b02035,openalex,2026-04-04 18:08:18
756,Noninvasive Diagnosis of Gastric Cancer Based on Breath Analysis with a Tubular Surface-Enhanced Raman Scattering Sensor,"Liping Huang, Yajie Zhu, Changshun Xu, Yu Cai, Yongdong Yi et al.",2022,ACS Sensors,disease_cancer,5.0,"[""breath analysis"", ""gastric cancer"", ""SERS"", ""VOC biomarker"", ""GC-MS""]",利用呼氣分析診斷胃癌，並開發新型SERS感測器。,10.1021/acssensors.2c00146,https://doi.org/10.1021/acssensors.2c00146,openalex,2026-04-04 18:08:18
750,Diagnosis by Volatile Organic Compounds in Exhaled Breath from Lung Cancer Patients Using Support Vector Machine Algorithm,"Yuichi Sakumura, Yutaro Koyama, Hiroaki Tokutake, Toyoaki Hida, Kazuo Sato et al.",2017,Sensors,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""GC-MS"", ""VOC biomarker"", ""SVM""]",利用呼氣VOC和SVM算法診斷肺癌的研究。,10.3390/s17020287,https://doi.org/10.3390/s17020287,openalex,2026-04-04 18:08:17
751,Noninvasive detection of colorectal cancer by analysis of exhaled breath,"Changsong Wang, Chaofu Ke, Xiaoyang Wang, Chunjie Chi, Lei Guo et al.",2014,Analytical and Bioanalytical Chemistry,disease_cancer,5.0,"[""breath analysis"", ""colorectal cancer"", ""noninvasive"", ""VOC biomarker"", ""cancer diagnosis""]",研究利用呼氣分析檢測結直腸癌，高度相關。,10.1007/s00216-014-7865-x,https://doi.org/10.1007/s00216-014-7865-x,openalex,2026-04-04 18:08:17
752,A breath test for malignant mesothelioma using an electronic nose,"Eleanor A. Chapman, Paul S. Thomas, Emily Stone, Craig Lewis, Deborah Yates",2011,European Respiratory Journal,disease_cancer,5.0,"[""breath analysis"", ""malignant mesothelioma"", ""electronic nose"", ""VOC biomarker"", ""screening""]",利用電子鼻分析呼氣VOC，可有效區分間皮瘤患者與健康人。,10.1183/09031936.00040911,https://doi.org/10.1183/09031936.00040911,openalex,2026-04-04 18:08:17
753,Investigation of VOCs associated with different characteristics of breast cancer cells,"Luca Lavra, Alexandro Catini, Alessandra Ulivieri, Rosamaria Capuano, Leila Salehi et al.",2015,Scientific Reports,disease_cancer,5.0,"[""breast cancer"", ""VOCs"", ""GC-MS"", ""cell lines"", ""tumor characterization""]",研究呼氣VOC與乳癌細胞特性，可作為診斷基礎。,10.1038/srep13246,https://doi.org/10.1038/srep13246,openalex,2026-04-04 18:08:17
754,Determination of volatile organic compounds as biomarkers of lung cancer by SPME–GC–TOF/MS and chemometrics,"Joanna Rudnicka, Tomasz Kowalkowski, Tomasz Ligor, Bogusław Buszewski",2011,Journal of Chromatography B,disease_cancer,5.0,"[""lung cancer"", ""VOC biomarker"", ""SPME"", ""GC-MS"", ""chemometrics""]",利用SPME-GC-MS分析呼氣VOC，作為肺癌的生物標記。,10.1016/j.jchromb.2011.09.001,https://doi.org/10.1016/j.jchromb.2011.09.001,openalex,2026-04-04 18:08:17
743,Urinary Volatile Compounds as Biomarkers for Lung Cancer: A Proof of Principle Study Using Odor Signatures in Mouse Models of Lung Cancer,"Koichi Matsumura, Maryanne Opiekun, Hiroaki Oka, Anil Vachani, Steven Μ. Albelda et al.",2010,PLoS ONE,voc_liquid,5.0,"[""urine"", ""VOC"", ""lung cancer"", ""biomarkers"", ""mouse model""]",利用尿液揮發物作為肺癌生物標記的實驗研究。,10.1371/journal.pone.0008819,https://doi.org/10.1371/journal.pone.0008819,openalex,2026-04-04 18:08:16
745,Use of Urine Volatile Organic Compounds To Discriminate Tuberculosis Patients from Healthy Subjects,"Khalid Muzaffar Banday, Kishore Kumar Pasikanti, Eric Chun Yong Chan, Rupak Singla, Kanury Venkata Subba Rao et al.",2011,Analytical Chemistry,voc_liquid,5.0,"[""urine"", ""VOC"", ""tuberculosis"", ""GC-MS"", ""diagnosis""]",研究利用尿液VOCs區分肺結核患者與健康人，具有診斷潛力。,10.1021/ac200265g,https://doi.org/10.1021/ac200265g,openalex,2026-04-04 18:08:16
748,Determination of volatile organic compounds as potential markers of lung cancer by gas chromatography–mass spectrometry versus trained dogs,"Joanna Rudnicka, Marta Walczak, Tomasz Kowalkowski, Tadeusz Jezierski, Bogusław Buszewski",2014,Sensors and Actuators B Chemical,disease_cancer,5.0,"[""lung cancer"", ""VOC biomarker"", ""GC-MS"", ""breath analysis"", ""cancer diagnosis""]",利用GC-MS分析呼氣VOC，尋找肺癌潛在標記物。,10.1016/j.snb.2014.06.006,https://doi.org/10.1016/j.snb.2014.06.006,openalex,2026-04-04 18:08:16
749,Volatile Markers of Breast Cancer in the Breath,"Michael Phillips, Renee N. Cataneo, Beth Ann Ditkoff, Peter Fisher, Joel Greenberg et al.",2003,The Breast Journal,disease_cancer,5.0,"[""breath analysis"", ""breast cancer"", ""VOC biomarker"", ""GC-MS"", ""disease_diagnosis""]",研究呼氣VOC作為乳癌診斷的潛在標記物，並有臨床數據。,10.1046/j.1524-4741.2003.09309.x,https://doi.org/10.1046/j.1524-4741.2003.09309.x,openalex,2026-04-04 18:08:16
737,Do linear logistic model analyses of volatile biomarkers in exhaled breath of cystic fibrosis patients reliably indicate <i>Pseudomonas aeruginosa</i> infection?,"Patrik Španěl, Kristýna Sovová, Kseniya Dryahina, Tereza Doušová, Pavel Dřevı́nek et al.",2016,Journal of Breath Research,voc_breath,5.0,"[""breath analysis"", ""cystic fibrosis"", ""SIFT-MS"", ""VOC biomarker"", ""infection""]",研究呼氣VOC用於診斷囊性纖維化患者的假單胞菌感染。,10.1088/1752-7155/10/3/036013,https://doi.org/10.1088/1752-7155/10/3/036013,openalex,2026-04-04 18:08:15
740,Exhaled volatile organic compounds identify patients with colorectal cancer,"Donato F. Altomare, M. Di Lena, Francesca Porcelli, L. Trizio, E Travaglio et al.",2012,British journal of surgery,disease_cancer,5.0,"[""breath analysis"", ""colorectal cancer"", ""VOC biomarker"", ""screening"", ""PNN""]",呼氣VOC模式可區分大腸癌患者，具有篩檢潛力。,10.1002/bjs.8942,https://doi.org/10.1002/bjs.8942,openalex,2026-04-04 18:08:15
734,Prediction of Pulmonary Diseases With Electronic Nose Using SVM and XGBoost,"V A Binson, M. Subramoniam, Youhan Sunny, Luke Mathew",2021,IEEE Sensors Journal,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""COPD"", ""asthma"", ""e-nose""]",利用電子鼻分析呼氣VOC，用於肺部疾病的診斷。,10.1109/jsen.2021.3100390,https://doi.org/10.1109/jsen.2021.3100390,openalex,2026-04-04 18:08:12
733,Gut-brain axis volatile organic compounds derived from breath distinguish between schizophrenia and major depressive disorder.,"Henning Dariush, Lüno Marian, Jiang Carina, Meyer-Lotz Gabriela, Hoeschen Christoph et al.",2023,Journal of psychiatry & neuroscience : JPN,voc_breath,5.0,"[""breath analysis"", ""schizophrenia"", ""depression"", ""PTR-MS"", ""VOC biomarker""]",呼氣VOC可區分思覺失調與憂鬱症，具有診斷潛力。,10.1503/jpn.220139,https://pubmed.ncbi.nlm.nih.gov/37045476/,pubmed,2026-04-04 18:08:11
732,Graphene and metal-organic framework hybrids for high-performance sensors for lung cancer biomarker detection supported by machine learning augmentation.,"Tran Anh Tuan Trong, Hassan Kamrul, Tung Tran Thanh, Tripathy Ashis, Mondal Ashok et al.",2024,Nanoscale,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""sensor"", ""machine learning""]",利用新型感測器檢測肺癌生物標記，並結合機器學習。,10.1039/d4nr00174e,https://pubmed.ncbi.nlm.nih.gov/38644676/,pubmed,2026-04-04 18:08:10
730,Multigroup prediction in lung cancer patients and comparative controls using signature of volatile organic compounds in breath samples.,"Rai Shesh N, Das Samarendra, Pan Jianmin, Mishra Dwijesh C, Fu Xiao-An",2022,PloS one,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""machine learning"", ""GC-MS""]",利用呼氣VOC診斷肺癌，並運用機器學習提升分類準確度。,10.1371/journal.pone.0277431,https://pubmed.ncbi.nlm.nih.gov/36449484/,pubmed,2026-04-04 18:08:08
729,AI Applied to Volatile Organic Compound (VOC) Profiles from Exhaled Breath Air for Early Detection of Lung Cancer.,"Vinhas Manuel, Leitão Pedro M, Raimundo Bernardo S, Gil Nuno, Vaz Pedro D et al.",2024,Cancers,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""AI"", ""VOC biomarker"", ""early detection""]",利用AI分析呼氣VOC，用於早期肺癌檢測。,10.3390/cancers16122200,https://pubmed.ncbi.nlm.nih.gov/38927906/,pubmed,2026-04-04 18:08:05
728,Machine learning assisted breathomic approach for early-stage thoracic cancer detection.,"Chen Zhenguang, Peng Minhua, Fan Pengnan, Chen Sai, Cheng Xinxin et al.",2025,Frontiers in oncology,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""machine learning"", ""early detection""]",利用呼氣VOC和機器學習輔助早期胸腔癌檢測的研究。,10.3389/fonc.2025.1635280,https://pubmed.ncbi.nlm.nih.gov/41040518/,pubmed,2026-04-04 18:08:03
727,Beyond Binary: A Machine Learning Framework for Interpreting Organismal Behavior in Cancer Diagnostics.,"Alshammari Aya Hasan, Mahdi Monther F, Hirotsu Takaaki, Morishita Masayo, Hatakeyama Hideyuki et al.",2025,Biomedicines,disease_cancer,5.0,"[""cancer diagnostics"", ""VOCs"", ""machine learning"", ""organismal biosensing"", ""urine""]",利用生物嗅覺偵測癌症相關VOC，並應用機器學習進行子分類。,10.3390/biomedicines13102409,https://pubmed.ncbi.nlm.nih.gov/41153692/,pubmed,2026-04-04 18:08:02
726,Artificial Intelligence-Enhanced Optimization of Wireless Breath Sensor Arrays for Detection of Lung Cancer Using Fuzzy Logic-Guided Genetic Algorithm and Multimodal Machine Learning.,"Dinh Dong, Shang Guojun, Cai Lei, Chan Wai Ben, Ma Aiping et al.",2026,ACS sensors,disease_cancer,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""machine learning"", ""sensor array""]",利用AI優化呼吸感測器陣列，用於肺癌檢測，準確度高。,10.1021/acssensors.5c04441,https://pubmed.ncbi.nlm.nih.gov/41778589/,pubmed,2026-04-04 18:08:00
725,Exhaled VOCs can discriminate subjects with COVID-19 from healthy controls.,"Woollam Mark, Angarita-Rivera Paula, Siegel Amanda P, Kalra Vikas, Kapoor Rajat et al.",2022,Journal of breath research,infection,5.0,"[""breath analysis"", ""COVID-19"", ""VOC biomarker"", ""GC-MS"", ""machine learning""]",利用呼氣VOCs，以機器學習區分COVID-19患者與健康人。,10.1088/1752-7163/ac696a,https://pubmed.ncbi.nlm.nih.gov/35453137/,pubmed,2026-04-04 18:07:58
724,"Exhaled volatile organic compounds as novel biomarkers for early detection of COPD, asthma, and PRISm: a cross-sectional study.","Tian Jiaxin, Zhang Qiurui, Peng Minhua, Guo Leixin, Zhao Qianqian et al.",2025,Respiratory research,voc_breath,5.0,"[""breath analysis"", ""COPD"", ""asthma"", ""PRISm"", ""GC-MS""]",研究呼氣VOC作為呼吸道疾病診斷的生物標記，並建立機器學習模型。,10.1186/s12931-025-03242-5,https://pubmed.ncbi.nlm.nih.gov/40325477/,pubmed,2026-04-04 18:07:57
723,Point-of-care breath sample analysis by semiconductor-based E-Nose technology discriminates non-infected subjects from SARS-CoV-2 pneumonia patients: a multi-analyst experiment.,"Woehrle Tobias, Pfeiffer Florian, Mandl Maximilian M, Sobtzick Wolfgang, Heitzer Jörg et al.",2024,MedComm,infection,5.0,"[""breath analysis"", ""SARS-CoV-2"", ""pneumonia"", ""E-Nose"", ""machine learning""]",利用電子鼻和機器學習診斷新冠肺炎，表現優於快篩。,10.1002/mco2.726,https://pubmed.ncbi.nlm.nih.gov/39465142/,pubmed,2026-04-04 18:07:55
722,Analysis of Volatile Organic Compounds in Exhaled Breath Following a COMEX-30 Treatment Table.,"de Jong Feiko J M, Wingelaar Thijs T, Brinkman Paul, van Ooij Pieter-Jan A M, Maitland-van der Zee Anke H et al.",2023,Metabolites,voc_breath,5.0,"[""breath analysis"", ""VOC biomarker"", ""pulmonary toxicity"", ""hyperoxia"", ""GC-MS""]",研究呼氣VOC與潛在的肺部氧氣中毒相關性。,10.3390/metabo13030316,https://pubmed.ncbi.nlm.nih.gov/36984755/,pubmed,2026-04-04 18:07:53
721,Exploring exhaled breath volatile organic compounds in occupational asthma: A pilot cross-sectional study.,"Heiro Hilde, Trulssen Hildre Tonje, Craster Amy, Grimmett Liam, Tardelli Matteo et al.",2024,Journal of breath research,voc_breath,5.0,"[""breath analysis"", ""occupational asthma"", ""VOC biomarker"", ""GC-MS"", ""metabolic changes""]",研究呼氣VOC在職業性氣喘中的生物標記物，具有高度相關性。,10.1088/1752-7163/ad7b6a,https://pubmed.ncbi.nlm.nih.gov/39284342/,pubmed,2026-04-04 18:07:51
720,Volatile Organic Compounds in Human Breath.,"Karunagaran Monika, Ramani Pratibha, Gheena S, Abilasha R, Hannah R",2022,Indian journal of dental research : official publication of Indian Society for Dental Research,voc_breath,5.0,"[""breathomics"", ""VOC"", ""exhaled breath"", ""biomarker"", ""diagnosis""]",全面分析呼氣樣本中的VOC，具有疾病診斷潛力。,10.4103/ijdr.IJDR_493_20,https://pubmed.ncbi.nlm.nih.gov/35946254/,pubmed,2026-04-04 18:07:49
